# Einseitiges Normalfeld und Maxwell-Druck auf der Oberflaeche, je
# Netzstufe.  d ist der Abstand zur Kontaktlinie entlang der Oberflaeche.
# Die Werte bei kleinem d sind PUNKTWEISE und konvergieren nicht.
shape,Pi,level,d_m,r_m,z_m,tau,En_V_per_m,pM_Pa,tangential_fraction
pi+0.50,5.000000000e-01,1,2.562205506e-07,4.751512004e-06,6.246429869e-08,9.492994515e-01,5.638897236e+07,1.407690223e+04,4.937872138e-02
pi+0.50,5.000000000e-01,1,0.000000000e+00,5.000000000e-06,0.000000000e+00,1.000000000e+00,5.961860895e+07,1.573556755e+04,2.283359695e-01
pi+0.50,5.000000000e-01,2,5.053605103e-06,0.000000000e+00,6.350832689e-07,0.000000000e+00,4.148514420e+07,7.619104712e+03,9.688751010e-03
pi+0.50,5.000000000e-01,2,4.707795042e-06,3.457928304e-07,6.320937285e-07,6.842838997e-02,4.160720233e+07,7.664004724e+03,6.351698545e-03
pi+0.50,5.000000000e-01,2,4.314390577e-06,7.390462315e-07,6.214238712e-07,1.462746913e-01,4.174024193e+07,7.713094602e+03,4.783434892e-03
pi+0.50,5.000000000e-01,2,3.866339447e-06,1.186568459e-06,5.998536231e-07,2.349343948e-01,4.195007730e+07,7.790839634e+03,4.728824240e-03
pi+0.50,5.000000000e-01,2,3.355480209e-06,1.696085312e-06,5.630358636e-07,3.360224749e-01,4.229620230e+07,7.919932557e+03,4.215685194e-03
pi+0.50,5.000000000e-01,2,2.806845895e-06,2.242036574e-06,5.090177562e-07,4.445854320e-01,4.278522788e+07,8.104130636e+03,1.836374198e-03
pi+0.50,5.000000000e-01,2,2.316278356e-06,2.728788634e-06,4.480515623e-07,5.416582204e-01,4.345089630e+07,8.358266475e+03,2.021785681e-03
pi+0.50,5.000000000e-01,2,1.884186082e-06,3.156170042e-06,3.844779601e-07,6.271600088e-01,4.428745568e+07,8.683207826e+03,2.908176508e-03
pi+0.50,5.000000000e-01,2,1.503115799e-06,3.531869760e-06,3.207607020e-07,7.025656400e-01,4.532799539e+07,9.096027407e+03,4.303553394e-03
pi+0.50,5.000000000e-01,2,1.167141776e-06,3.862049691e-06,2.586551198e-07,7.690476892e-01,4.663536433e+07,9.628297086e+03,6.421549406e-03
pi+0.50,5.000000000e-01,2,8.712274821e-07,4.151961149e-06,1.993675292e-07,8.276027777e-01,4.832248465e+07,1.033754107e+04,9.737179371e-03
pi+0.50,5.000000000e-01,2,6.104275216e-07,4.406719149e-06,1.435641514e-07,8.792094932e-01,5.060651944e+07,1.133787519e+04,1.525552535e-02
pi+0.50,5.000000000e-01,2,3.807261433e-07,4.630479836e-06,9.166715436e-08,9.246624666e-01,5.398172739e+07,1.290067070e+04,2.566152169e-02
pi+0.50,5.000000000e-01,2,1.783609845e-07,4.827106181e-06,4.381959874e-08,9.647061888e-01,6.016884927e+07,1.602736567e+04,5.293602467e-02
pi+0.50,5.000000000e-01,2,0.000000000e+00,5.000000000e-06,0.000000000e+00,1.000000000e+00,6.413678681e+07,1.821097218e+04,2.267995016e-01
pi+0.50,5.000000000e-01,3,5.053605103e-06,0.000000000e+00,6.350832689e-07,0.000000000e+00,4.163811866e+07,7.675398470e+03,6.326136490e-03
pi+0.50,5.000000000e-01,3,4.828207534e-06,2.253927972e-07,6.338131808e-07,4.460134179e-02,4.170540065e+07,7.700223479e+03,3.769977403e-03
pi+0.50,5.000000000e-01,3,4.582550690e-06,4.710108625e-07,6.295362189e-07,9.321155949e-02,4.176480031e+07,7.722173458e+03,2.509888513e-03
pi+0.50,5.000000000e-01,3,4.314625486e-06,7.388114821e-07,6.214325503e-07,1.462282077e-01,4.184064490e+07,7.750245752e+03,2.235310471e-03
pi+0.50,5.000000000e-01,3,4.022370869e-06,1.030777353e-06,6.085030575e-07,2.040591246e-01,4.195467527e+07,7.792547570e+03,2.222679510e-03
pi+0.50,5.000000000e-01,3,3.703444859e-06,1.349134956e-06,5.895272570e-07,2.671677379e-01,4.212332305e+07,7.855321848e+03,2.339316531e-03
pi+0.50,5.000000000e-01,3,3.355494008e-06,1.696071563e-06,5.630370338e-07,3.360197443e-01,4.236509990e+07,7.945755624e+03,2.320910306e-03
pi+0.50,5.000000000e-01,3,2.984632557e-06,2.065284294e-06,5.281624872e-07,4.094052669e-01,4.267921711e+07,8.064020495e+03,1.271385657e-03
pi+0.50,5.000000000e-01,3,2.636352421e-06,2.411371865e-06,4.891832418e-07,4.783224318e-01,4.307471424e+07,8.214167306e+03,1.227120190e-03
pi+0.50,5.000000000e-01,3,2.316239257e-06,2.728827367e-06,4.480462276e-07,5.416659574e-01,4.354254644e+07,8.393563525e+03,1.505746136e-03
