# Advektierte Oberflaeche gegen die exakte Lagrange-Abbildung.
# Das Feld ist VORGESCHRIEBEN; nichts wird dafuer geloest.
case,t_over_T,node,r_m,z_m,r_exact_m,z_exact_m
dilatation,0.7500,16,2.248085369e-06,6.918895330e-06,2.248085369e-06,6.918895330e-06
dilatation,0.7500,17,2.383495492e-06,6.873423430e-06,2.383495492e-06,6.873423430e-06
dilatation,0.7500,18,2.517986733e-06,6.825301695e-06,2.517986733e-06,6.825301695e-06
dilatation,0.7500,19,2.651507241e-06,6.774548676e-06,2.651507241e-06,6.774548676e-06
dilatation,0.7500,20,2.784005543e-06,6.721183940e-06,2.784005543e-06,6.721183940e-06
dilatation,0.7500,21,2.915430558e-06,6.665228059e-06,2.915430558e-06,6.665228059e-06
dilatation,0.7500,22,3.045731619e-06,6.606702606e-06,3.045731619e-06,6.606702606e-06
dilatation,0.7500,23,3.174858492e-06,6.545630143e-06,3.174858492e-06,6.545630143e-06
dilatation,0.7500,24,3.302761397e-06,6.482034215e-06,3.302761397e-06,6.482034215e-06
dilatation,0.7500,25,3.429391025e-06,6.415939340e-06,3.429391025e-06,6.415939340e-06
dilatation,0.7500,26,3.554698557e-06,6.347370998e-06,3.554698557e-06,6.347370998e-06
dilatation,0.7500,27,3.678635685e-06,6.276355623e-06,3.678635685e-06,6.276355623e-06
dilatation,0.7500,28,3.801154629e-06,6.202920594e-06,3.801154629e-06,6.202920594e-06
dilatation,0.7500,29,3.922208156e-06,6.127094222e-06,3.922208156e-06,6.127094222e-06
dilatation,0.7500,30,4.041749596e-06,6.048905737e-06,4.041749596e-06,6.048905737e-06
dilatation,0.7500,31,4.159732866e-06,5.968385284e-06,4.159732866e-06,5.968385284e-06
dilatation,0.7500,32,4.276112479e-06,5.885563905e-06,4.276112479e-06,5.885563905e-06
dilatation,0.7500,33,4.390843569e-06,5.800473530e-06,4.390843569e-06,5.800473530e-06
dilatation,0.7500,34,4.503881905e-06,5.713146961e-06,4.503881905e-06,5.713146961e-06
dilatation,0.7500,35,4.615183910e-06,5.623617865e-06,4.615183910e-06,5.623617865e-06
