# Nahfeldausschnitt, fuer alle Vorratsvarianten identisch
# |E| ist im Inneren der Fluessigkeit nicht definiert (idealer Leiter) und dort 0
r_m,z_m,phi_V,E_V_per_m,region
0.0000000e+00,-2.2589958e-04,1.5000000e+03,0.0000000e+00,liquid
3.3472803e-06,-2.2589958e-04,1.5000000e+03,0.0000000e+00,liquid
6.6945607e-06,-2.2589958e-04,1.4903562e+03,4.9168687e+06,reservoir_solid
1.0041841e-05,-2.2589958e-04,1.4769269e+03,3.2884826e+06,reservoir_solid
1.3389121e-05,-2.2589958e-04,1.4673531e+03,2.4967850e+06,reservoir_solid
1.6736402e-05,-2.2589958e-04,1.4598569e+03,2.0136382e+06,reservoir_solid
2.0083682e-05,-2.2589958e-04,1.4536767e+03,1.6998799e+06,reservoir_solid
2.3430962e-05,-2.2589958e-04,1.4483936e+03,1.4754857e+06,reservoir_solid
2.6778243e-05,-2.2589958e-04,1.4437525e+03,1.3133854e+06,reservoir_solid
3.0125523e-05,-2.2589958e-04,1.4396024e+03,1.1854790e+06,reservoir_solid
3.3472803e-05,-2.2589958e-04,1.4358403e+03,1.0841944e+06,reservoir_solid
3.6820084e-05,-2.2589958e-04,1.4323988e+03,1.0016752e+06,reservoir_solid
4.0167364e-05,-2.2589958e-04,1.4292218e+03,9.3313988e+05,reservoir_solid
4.3514644e-05,-2.2589958e-04,1.4262704e+03,8.7552434e+05,reservoir_solid
4.6861925e-05,-2.2589958e-04,1.4235170e+03,8.2672874e+05,reservoir_solid
5.0209205e-05,-2.2589958e-04,1.4209311e+03,7.8492212e+05,reservoir_solid
5.3556485e-05,-2.2589958e-04,1.4185056e+03,7.4926446e+05,reservoir_solid
5.6903766e-05,-2.2589958e-04,1.4162082e+03,7.1830353e+05,reservoir_solid
6.0251046e-05,-2.2589958e-04,1.4140323e+03,6.9151995e+05,reservoir_solid
6.3598326e-05,-2.2589958e-04,1.4119698e+03,6.6834475e+05,reservoir_solid
6.6945607e-05,-2.2589958e-04,1.4100120e+03,6.4828512e+05,reservoir_solid
