# strukturiertes Volumennetz: Knoten (i,j) -> (r,z)
# nr=239 nz=313
i,j,r_m,z_m
99,2,7.122108778e-05,-4.672976521e-03
100,2,7.548786712e-05,-4.672976521e-03
101,2,8.014712385e-05,-4.672976521e-03
102,2,8.523466155e-05,-4.672976521e-03
103,2,9.078843638e-05,-4.672976521e-03
104,2,9.685525750e-05,-4.672976521e-03
105,2,1.034758769e-04,-4.672976521e-03
106,2,1.107020219e-04,-4.672976521e-03
107,2,1.185948933e-04,-4.672976521e-03
108,2,1.271212752e-04,-4.672976521e-03
109,2,1.352404309e-04,-4.672976521e-03
110,2,1.426794381e-04,-4.672976521e-03
111,2,1.494903129e-04,-4.672976521e-03
112,2,1.557277722e-04,-4.672976521e-03
113,2,1.614435061e-04,-4.672976521e-03
114,2,1.666778448e-04,-4.672976521e-03
115,2,1.714708543e-04,-4.672976521e-03
